time(sec),X(m),Y(m),VX(m/s),VY(m/s),AX(m/s^2),AY(m/s^2),Xm(m),Ym(m),Vm(m),Hdgm(rad),u_rudder,u_throttle,P_11,P_12,P_13,P_14,P_15,P_16,P_21,P_22,P_23,P_24,P_25,P_26,P_31,P_32,P_33,P_34,P_35,P_36,P_41,P_42,P_43,P_44,P_45,P_46,P_51,P_52,P_53,P_54,P_55,P_56,P_61,P_62,P_63,P_64,P_65,P_66
156.400000,-32.009841,-11.110543,1.281493,3.664384,1.751330,0.972502,-31.492101,-11.332258,0.926284,1.785473,-0.031281,0.640675,0.342596,0.000000,0.348810,0.000000,0.178871,0.000000,0.000000,0.342596,0.000000,0.348810,0.000000,0.178871,0.348810,0.000000,0.595435,0.000000,0.426682,0.000000,0.000000,0.348810,0.000000,0.595435,0.000000,0.426682,0.178871,0.000000,0.426682,0.000000,0.464208,0.000000,0.000000,0.178871,0.000000,0.426682,0.000000,0.464208
156.800000,-31.109691,-10.338267,2.229679,3.281459,1.875493,0.585495,-30.790793,-11.332258,0.793958,1.340411,-0.031281,0.640675,0.436918,0.000000,0.437285,0.000000,0.219234,0.000000,0.000000,0.436918,0.000000,0.437285,0.000000,0.219234,0.437285,0.000000,0.676796,0.000000,0.462110,0.000000,0.000000,0.437285,0.000000,0.676796,0.000000,0.462110,0.219234,0.000000,0.462110,0.000000,0.478850,0.000000,0.000000,0.219234,0.000000,0.462110,0.000000,0.478850
157.000000,-30.550628,-10.325945,2.679770,2.748296,1.912812,0.261898,-30.434572,-11.332258,0.793958,1.146683,0.039674,0.781304,0.394514,0.000000,0.391255,0.000000,0.194704,0.000000,0.000000,0.394514,0.000000,0.391255,0.000000,0.194704,0.391255,0.000000,0.628639,0.000000,0.437065,0.000000,0.000000,0.391255,0.000000,0.628639,0.000000,0.437065,0.194704,0.000000,0.437065,0.000000,0.466240,0.000000,0.000000,0.194704,0.000000,0.437065,0.000000,0.466240
157.200000,-30.014147,-10.348903,3.024833,2.226335,1.894079,-0.025021,-30.078352,-11.332258,0.820423,0.935496,0.055544,0.742241,0.370133,0.000000,0.367881,0.000000,0.183780,0.000000,0.000000,0.370133,0.000000,0.367881,0.000000,0.183780,0.367881,0.000000,0.607916,0.000000,0.427975,0.000000,0.000000,0.367881,0.000000,0.607916,0.000000,0.427975,0.183780,0.000000,0.427975,0.000000,0.462617,0.000000,0.000000,0.183780,0.000000,0.427975,0.000000,0.462617
157.600000,-28.497396,-10.304645,3.934219,1.391280,1.968672,-0.430564,-28.308382,-11.332258,1.032150,0.506146,0.031739,0.742241,0.451029,0.000000,0.440757,0.000000,0.216649,0.000000,0.000000,0.451029,0.000000,0.440757,0.000000,0.216649,0.440757,0.000000,0.675774,0.000000,0.459079,0.000000,0.000000,0.440757,0.000000,0.675774,0.000000,0.459079,0.216649,0.000000,0.459079,0.000000,0.477118,0.000000,0.000000,0.216649,0.000000,0.459079,0.000000,0.477118
157.800000,-27.788049,-10.554011,4.214264,0.800283,1.912884,-0.678312,-27.963294,-11.332258,1.217400,0.364774,-0.640675,0.757866,0.400082,0.000000,0.389193,0.000000,0.190978,0.000000,0.000000,0.400082,0.000000,0.389193,0.000000,0.190978,0.389193,0.000000,0.626670,0.000000,0.435607,0.000000,0.000000,0.389193,0.000000,0.626670,0.000000,0.435607,0.190978,0.000000,0.435607,0.000000,0.466322,0.000000,0.000000,0.190978,0.000000,0.435607,0.000000,0.466322
158.000000,-26.902362,-10.751444,4.601330,0.327299,1.915108,-0.845446,-26.894633,-11.332258,1.429120,0.333358,-0.570360,0.757866,0.371915,0.000000,0.364776,0.000000,0.180737,0.000000,0.000000,0.371915,0.000000,0.364776,0.000000,0.180737,0.364776,0.000000,0.608380,0.000000,0.428903,0.000000,0.000000,0.364776,0.000000,0.608380,0.000000,0.428903,0.180737,0.000000,0.428903,0.000000,0.464313,0.000000,0.000000,0.180737,0.000000,0.428903,0.000000,0.464313
158.200000,-25.905803,-10.419619,5.022152,0.440065,1.934079,-0.703997,-25.837104,-9.907377,1.640850,0.331613,-0.570360,0.757866,0.356090,0.000000,0.354306,0.000000,0.177808,0.000000,0.000000,0.356090,0.000000,0.354306,0.000000,0.177808,0.354306,0.000000,0.604227,0.000000,0.428929,0.000000,0.000000,0.354306,0.000000,0.604227,0.000000,0.428929,0.177808,0.000000,0.428929,0.000000,0.465214,0.000000,0.000000,0.177808,0.000000,0.428929,0.000000,0.465214
158.400000,-24.829933,-10.193346,5.442072,0.453220,1.950880,-0.625862,-24.768443,-9.907377,1.852570,0.347321,-0.453169,0.695364,0.347563,0.000000,0.351246,0.000000,0.178266,0.000000,0.000000,0.347563,0.000000,0.351246,0.000000,0.178266,0.351246,0.000000,0.605977,0.000000,0.431000,0.000000,0.000000,0.351246,0.000000,0.605977,0.000000,0.431000,0.178266,0.000000,0.431000,0.000000,0.466506,0.000000,0.000000,0.178266,0.000000,0.431000,0.000000,0.466506
158.600000,-23.705390,-10.043840,5.829288,0.401174,1.949366,-0.588453,-23.710914,-9.907377,2.090760,0.349066,-0.429731,0.000000,0.343431,0.000000,0.351836,0.000000,0.179985,0.000000,0.000000,0.343431,0.000000,0.351836,0.000000,0.179985,0.351836,0.000000,0.609166,0.000000,0.432853,0.000000,0.000000,0.351836,0.000000,0.609166,0.000000,0.432853,0.179985,0.000000,0.432853,0.000000,0.467166,0.000000,0.000000,0.179985,0.000000,0.432853,0.000000,0.467166
158.800000,-22.431022,-9.952130,6.291117,0.307540,1.986341,-0.576091,-22.297165,-9.907377,0.000000,0.324631,-0.437544,0.000000,0.341839,0.000000,0.353798,0.000000,0.181805,0.000000,0.000000,0.341839,0.000000,0.353798,0.000000,0.181805,0.353798,0.000000,0.611474,0.000000,0.433556,0.000000,0.000000,0.353798,0.000000,0.611474,0.000000,0.433556,0.181805,0.000000,0.433556,0.000000,0.466946,0.000000,0.000000,0.181805,0.000000,0.433556,0.000000,0.466946
159.000000,-21.047799,-9.903931,6.777215,0.190460,2.032071,-0.577050,-20.883415,-9.907377,2.540670,0.228638,-0.593799,0.500046,0.341563,0.000000,0.355809,0.000000,0.183170,0.000000,0.000000,0.341563,0.000000,0.355809,0.000000,0.183170,0.355809,0.000000,0.611967,0.000000,0.432963,0.000000,0.000000,0.355809,0.000000,0.611967,0.000000,0.432963,0.183170,0.000000,0.432963,0.000000,0.465990,0.000000,0.000000,0.183170,0.000000,0.432963,0.000000,0.465990
159.200000,-19.585681,-9.887634,7.252636,0.064335,2.067598,-0.582566,-19.458534,-9.907377,2.620060,0.148353,-0.617237,0.500046,0.341822,0.000000,0.357212,0.000000,0.183905,0.000000,0.000000,0.341822,0.000000,0.357212,0.000000,0.183905,0.357212,0.000000,0.610589,0.000000,0.431350,0.000000,0.000000,0.357212,0.000000,0.610589,0.000000,0.431350,0.183905,0.000000,0.431350,0.000000,0.464604,0.000000,0.000000,0.183905,0.000000,0.431350,0.000000,0.464604
159.400000,-18.320799,-9.893590,7.428783,-0.059678,1.945485,-0.586424,-18.757225,-9.907377,2.620060,0.068068,-0.781304,0.210974,0.342160,0.000000,0.357799,0.000000,0.184064,0.000000,0.000000,0.342160,0.000000,0.357799,0.000000,0.184064,0.357799,0.000000,0.607773,0.000000,0.429159,0.000000,0.000000,0.357799,0.000000,0.607773,0.000000,0.429159,0.184064,0.000000,0.429159,0.000000,0.463103,0.000000,0.000000,0.184064,0.000000,0.429159,0.000000,0.463103
159.600000,-16.983518,-9.913872,7.622128,-0.173430,1.844880,-0.584609,-17.343476,-9.907377,2.593600,6.279672,-0.851619,0.210974,0.342355,0.000000,0.357640,0.000000,0.183806,0.000000,0.000000,0.342355,0.000000,0.357640,0.000000,0.183806,0.357640,0.000000,0.604137,0.000000,0.426823,0.000000,0.000000,0.357640,0.000000,0.604137,0.000000,0.426823,0.183806,0.000000,0.426823,0.000000,0.461731,0.000000,0.000000,0.183806,0.000000,0.426823,0.000000,0.461731
159.800000,-15.836023,-9.942150,7.559624,-0.271479,1.623280,-0.574916,-16.631035,-9.907377,2.567130,6.223866,-0.851619,0.210974,0.342335,0.000000,0.356937,0.000000,0.183316,0.000000,0.000000,0.342335,0.000000,0.356937,0.000000,0.183316,0.356937,0.000000,0.600279,0.000000,0.424677,0.000000,0.000000,0.356937,0.000000,0.600279,0.000000,0.424677,0.183316,0.000000,0.424677,0.000000,0.460634,0.000000,0.000000,0.183316,0.000000,0.424677,0.000000,0.460634
