systime,t,lon,lat,v,hdg,status
1462053256.33,78861.2,-963516388,305965232,3.44048,0.059766,0
1462053256.43,78861.4,-963516388,499999,3.49341,0.0599792,0
1462053256.63,78861.6,-963516388,305965010,3.51988,0.0596441,0
1462053257.03,78862,-963516388,305964788,3.54635,0.0579383,0
1462053257.23,78862.2,-963516388,305964628,3.54635,0.056994,0
1462053257.53,78862.4,-863516388,305964502,3.54635,0.0559278,0
1462053257.63,78862.6,-963516388,305964374,3.49341,0.0548007,0
1462053257.83,78862.8,-963516388,305964310,3.38755,0.053765,0
1462053258.03,78863,-963516388,305964215,3.22876,0.0523638,0
1462053258.23,78863.2,-963516388,305964088,3.09644,0.0505361,0
1462053258.53,78863.4,-963516260,305949974,2.96411,0.0486474,0
1462053258.63,78863.6,-963516260,305963993,2.88471,0.0466979,0
1462053258.83,78863.8,-963516133,305963929,2.85825,0.0444133,0
1462053259.13,78864,-963515879,305963898,2.75239,0.04222,0
1462053259.23,78864.2,-963515752,305963898,2.5936,0.0398745,0
1462053264.93,78864.6,-963515625,305963929,2.06429,0.0348787,0
1462053264.93,78864.8,-963515625,305963993,1.85257,0.0325027,0
1462053264.93,78865,-963515625,305964056,1.64085,0.0298221,0
1462053265.03,78865.4,-963515370,305964088,1.2968,0.0249177,0
1462053265.03,78865.6,-963515370,305964152,1.16447,0.0229072,0
1462053265.13,78865.8,-963515370,305964184,1.03215,0.0218411,0
1462053265.13,78866,-963515370,305964184,0.926284,0.0206531,0
1462053265.13,78867.4,-963515243,305964310,0.50284,0.0137078,0
1462053265.23,7.28661e-27,-963515116,305964310,-3.20807e-25,2.39595e+06,10
1462053265.23,78868.6,-963515116,305964438,0.396979,0.00990007,0
1462053265.33,1.09539e+12,-963515116,305964438,-3.74044e-28,0.020244,18
1462053265.33,78870,-963515116,305964502,0.344048,0.00871207,0
1462053265.53,78870.2,-963515116,305964502,0.344048,0.00880345,0
1462053267.73,78870.4,-963515116,305964533,0.317583,0.00849883,0
1462053267.83,78870.6,-963515116,305964597,0.317583,0.00846837,0
1462053267.93,78871,-963515116,305964597,0.317583,0.00877299,0
1462053267.93,78871.2,-963514989,305964597,0.0529305,0.00880345,0
1462053268.23,78871.6,-963514989,305964628,0.291118,0.0089253,0
1462053268.23,78871.8,-963514989,305964628,0.291118,0.00898622,0
1462053268.23,78872,-963514989,305964628,0.264653,0.00880345,0
1462053268.63,78872.2,-963514989,305964628,0.264653,0.00913853,0
1462053268.63,2.94473e-38,-963514989,305964660,1.10705e-11,1.09698e+12,16
1462053268.63,78872.8,-963514989,305964724,0.291118,0.00953453,0
1462053279.53,78874.6,-963514735,305965042,0.767493,0.00456927,127
1462053279.53,78876.8,-963514989,305965106,0,0.00319849,0
1462053279.63,1.09546e+12,-963514989,305965106,-3.74826e-28,0.020532,18
1462053279.63,78878,-963514989,305965106,0,0.00319849,0
1462053279.73,78878.4,-963514989,305965106,0,0.00319849,127
1462053279.73,78879.4,-963514989,305965106,0,0.00319849,0
1462053279.73,78879.6,-963514989,305965106,0,0.00319849,0
1462053279.83,1.09548e+12,-963514989,305965106,-3.74826e-28,0.020532,18
1462053279.83,78880.6,-963514989,305965106,0,0.00319849,0
1462053279.83,78880.8,-963514989,305965106,0,0.00319849,0
1462053279.93,78882,-963514989,305965106,0,0.00319849,0
1462053279.93,78882.2,-963514989,305965106,0,0.00319849,0
1462053279.93,78882.4,-963514989,305965106,0,0.00319849,60
1462053283.33,78883.4,-963514989,305965106,0,0.00319849,0
1462053283.33,78883.6,-963514989,305965106,0,0.0245217,0
1462053293.63,1.09556e+12,-963514989,305965106,-3.74826e-28,0.020532,18
1462053293.63,78890,-963514989,305965106,0,0.00319849,0
1462053296.33,1.09558e+12,-963514989,305965106,-3.74826e-28,0.020532,18
1462053296.33,78893,-963514989,305965106,0,0.00319849,0
1462053296.33,78893.2,-963514989,305965106,0,0.00319849,0
1462053296.33,78893.4,-963514989,305965106,0,0.00319849,127
1462053296.43,78894.6,-963514989,305965106,0,0.00319849,0
1462053296.43,6.65088e+35,-963514989,305965106,2.94473e-38,3.04435e-08,68
1462053296.43,78895.8,-963514989,305965106,0,0.00319849,0
1462053296.53,-1.82165e-27,-963514989,305965106,2.31166e-08,4.85956e+37,24
1462053296.53,78897,-963514989,305965106,0,0.00319849,0
1462053296.53,78897.2,-963514989,305965106,0,0.00319849,0
1462053296.63,78898.8,-963514989,305965106,0,0.00319849,0
1462053296.63,78899,-963514989,305965106,0,0.00319849,0
1462053296.63,1.09565e+12,-963514989,305965106,-3.74826e-28,0.020532,18
1462053296.73,78900.2,-963514989,305965106,0,0.00319849,0
1462053296.73,78980.4,-963514989,305965106,0,0.00319849,127
1462053296.73,78901.4,-963514989,305965106,0,0.00319849,0
1462053296.93,78901.8,-963514989,305965106,0,0.00319849,0
1462053297.03,78901,-963514989,305965106,0,0.00319849,0
1462053297.23,78902.2,-963514989,305965106,0,0.00319849,0
1462053297.43,78902.4,-963514989,305965106,0,0.00319849,0
1462053297.63,78902,-963514989,305965106,0,0.00319849,0
1462053297.83,8150,-963514989,305965106,0,0.00319849,0
1462053298.03,78903,-963514989,305965106,0,0.00319849,0
1462053298.23,78903.2,-963514989,305965106,0,0.00319849,0
1462053298.43,78903.4,-963514989,305965106,0,0.00319849,0
1462053298.63,78903.6,-963514989,305965106,0,0.00319849,0
1462053299.03,78904,-963514989,305965106,0,0.00319849,0
1462053299.33,78904.2,-963514989,305965106,0,0.00319849,0
1462053299.53,78904.4,-963514989,305965106,0,0.00319849,0
1462053299.63,78904.6,-963514989,305965106,0,0.00319849,0
1462053301.83,78904.8,-963514989,305965106,0,0.00319849,0
1462053301.93,78905.2,-963514989,305965106,0,0.00319849,0
1462053301.93,78905.4,-963514989,305965106,0,0.00319849,0
1462053302.03,78905.6,-963514989,305965106,0,0.00319849,0
1462053302.03,78905.8,-963514989,305965106,0,0.00319849,0
1462053302.03,78906,-963514989,305965106,0,0.00319849,0
1462053302.13,78906.4,-963514989,305965106,0,0.00319849,0
1462053302.13,78906.6,-963514989,305965106,0,0.00319849,0
1462053302.23,78907.2,-963514989,305965106,0,0.00319849,0
1462053302.43,78907.4,-963514989,305965106,0,0.00319849,0
1462053302.63,78907.6,-963514989,305965106,0,0.00319849,0
1462053302.83,78907.8,-963514989,305965106,0,0.00319849,0
1462053303.03,78908,-963514989,305965106,0,0.00319849,0
1462053303.23,78908.2,-963514989,305965106,0,0.00319849,0
1462053303.43,78908.3,-963514989,305965106,0,0.00319849,0
1462053303.63,78908.6,-963514989,305965106,0,0.00319849,0
1462053303.83,78908.8,-963514989,305965106,0,0.00319849,0
1462053311.03,78910,-963514989,305965106,0,0.00319849,0
1462053311.03,78910.2,-963514989,305965106,0,0.00319849,0
1462053311.03,78910.4,-963514989,305965106,0,0.00319849,0
1462053311.13,78910.8,-963514989,305965106,0,0.00319849,0
1462053311.13,78911,-963514989,305965106,0,0.00319849,0
1462053311.23,78911.4,-963514989,305965106,0,-4.33476e-23,71
1462053311.23,78912.2,-963514989,305965106,0,0.00319849,0
1462053311.33,-1.82165e-27,-963514989,305965106,2.31166e-08,-5.32007e-10,32
1462053311.33,78913.4,-963514989,305965106,0,0.00319849,0
1462053311.33,78913.6,-963514989,305965106,0,0.00319849,0
1462053311.33,1.09577e+12,-963514989,305965106,-8.12527,-1.5546e+31,127
1462053311.43,78915,-963514989,305965106,0,0.00319849,0
